pk_name,pk_address,pk_code,pk_type_cd,pk_type_nm,oper_se,oper_se_nm,phone,weekday_start,weekday_end,weekend_start,weekend_end,holi_start,holi_end,parking_space,fee_type,basic_fee,basic_time,extra_fee,extra_time,daily_max_fee,monthly_fee,latitude,longitude,coord_src,PRK_STTS_YN,PRK_STTS_NM,NOW_PRK_VHCL_CNT,NOW_PRK_VHCL_UPDT_TM,PAY_YN,PAY_YN_NM,NGHT_PAY_YN,NGHT_PAY_YN_NM,LHLDY_OPER_BGNG_TM,LHLDY_OPER_END_TM,LHLDY_CHGD_FREE_SE,LHLDY_CHGD_FREE_SE_NAME,PRD_AMT,STRT_PKLT_MNG_NO,BSC_PRK_CRG,BSC_PRK_HR,ADD_PRK_CRG,ADD_PRK_HR,BUS_BSC_PRK_CRG,BUS_BSC_PRK_HR,BUS_ADD_PRK_HR,BUS_ADD_PRK_CRG,DAY_MAX_CRG,SHRN_PKLT_MNG_NM,SHRN_PKLT_MNG_URL,SHRN_PKLT_YN,SHRN_PKLT_ETC,collected_at,최근접역명,최근접역호선,최근접역거리(m),역세권여부(500m이내),요금점수,면수점수,역세권점수,난이도점수,난이도등급,평일혼잡_00시,평일혼잡_01시,평일혼잡_02시,평일혼잡_03시,평일혼잡_04시,평일혼잡_05시,평일혼잡_06시,평일혼잡_07시,평일혼잡_08시,평일혼잡_09시,평일혼잡_10시,평일혼잡_11시,평일혼잡_12시,평일혼잡_13시,평일혼잡_14시,평일혼잡_15시,평일혼잡_16시,평일혼잡_17시,평일혼잡_18시,평일혼잡_19시,평일혼잡_20시,평일혼잡_21시,평일혼잡_22시,평일혼잡_23시,주말혼잡_00시,주말혼잡_01시,주말혼잡_02시,주말혼잡_03시,주말혼잡_04시,주말혼잡_05시,주말혼잡_06시,주말혼잡_07시,주말혼잡_08시,주말혼잡_09시,주말혼잡_10시,주말혼잡_11시,주말혼잡_12시,주말혼잡_13시,주말혼잡_14시,주말혼잡_15시,주말혼잡_16시,주말혼잡_17시,주말혼잡_18시,주말혼잡_19시,주말혼잡_20시,주말혼잡_21시,주말혼잡_22시,주말혼잡_23시
남산동 공영주차장(구),중구 남산동2가 30-4,1041840,NW,노외 주차장,1,시간제 주차장,02-2280-8360,0000,2400,0000,2400,0000,2400,48,유료,300.0,5.0,300.0,5.0,,240000.0,37.5592456159986,126.9855535929,카카오,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-28 01:08:10,명동,4호선,205,Y,6,26,30,62,어려움,여유,여유,여유,여유,여유,여유,여유,보통,혼잡,혼잡,보통,보통,보통,보통,보통,보통,보통,혼잡,혼잡,혼잡,보통,보통,여유,여유,여유,여유,여유,여유,여유,여유,여유,여유,여유,여유,보통,보통,혼잡,혼잡,혼잡,혼잡,보통,보통,보통,여유,여유,여유,여유,여유
역삼1문화센터 공영주차장(구),강남구 역삼동 829-20,1042402,NW,노외 주차장,1,시간제 주차장,02-3423-6403,0000,2400,0000,2400,0000,2400,115,유료,400.0,5.0,400.0,5.0,,280000.0,37.4953548359191,127.033249568198,카카오,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-28 01:08:11,강남,신분당선,483,Y,8,15,30,53,보통,여유,여유,여유,여유,여유,여유,여유,보통,혼잡,혼잡,보통,보통,보통,보통,보통,보통,보통,혼잡,혼잡,혼잡,보통,보통,여유,여유,여유,여유,여유,여유,여유,여유,여유,여유,여유,여유,보통,보통,혼잡,혼잡,혼잡,혼잡,보통,보통,보통,여유,여유,여유,여유,여유
언북초교 공영주차장(구),강남구 청담동 27-0,1042405,NW,노외 주차장,1,시간제 주차장,02-3423-6403,0000,2400,0000,2400,0000,2400,220,유료,300.0,5.0,300.0,5.0,,180000.0,37.5199695812957,127.045626398748,카카오,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-28 01:08:11,강남구청,분당선,483,Y,6,12,30,48,보통,여유,여유,여유,여유,여유,여유,여유,보통,혼잡,혼잡,보통,보통,보통,보통,보통,보통,보통,혼잡,혼잡,혼잡,보통,보통,여유,여유,여유,여유,여유,여유,여유,여유,여유,여유,여유,여유,보통,보통,혼잡,혼잡,혼잡,혼잡,보통,보통,보통,여유,여유,여유,여유,여유
삼성1문화센터 공영주차장(구),강남구 삼성동 161-2,1042406,NW,노외 주차장,1,시간제 주차장,02-3423-6403,0000,2400,0000,2400,0000,2400,68,유료,400.0,5.0,400.0,5.0,,280000.0,37.5143443033382,127.062629702701,카카오,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-28 01:08:12,봉은사,9호선(연장),211,Y,8,22,30,60,어려움,여유,여유,여유,여유,여유,여유,여유,보통,혼잡,혼잡,보통,보통,보통,보통,보통,보통,보통,혼잡,혼잡,혼잡,보통,보통,여유,여유,여유,여유,여유,여유,여유,여유,여유,여유,여유,여유,보통,보통,혼잡,혼잡,혼잡,혼잡,보통,보통,보통,여유,여유,여유,여유,여유
논현초교 공영주차장(구),강남구 논현동 168-0,1042410,NW,노외 주차장,1,시간제 주차장,02-3423-6403,0000,2400,0000,2400,0000,2400,186,유료,300.0,5.0,300.0,5.0,,180000.0,37.5082170904646,127.026316463846,카카오,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-28 01:08:13,신논현,9호선,417,Y,6,13,30,49,보통,여유,여유,여유,여유,여유,여유,여유,보통,혼잡,혼잡,보통,보통,보통,보통,보통,보통,보통,혼잡,혼잡,혼잡,보통,보통,여유,여유,여유,여유,여유,여유,여유,여유,여유,여유,여유,여유,보통,보통,혼잡,혼잡,혼잡,혼잡,보통,보통,보통,여유,여유,여유,여유,여유
언주초 공영주차장(구),강남구 도곡동 922-0,1042421,NW,노외 주차장,1,시간제 주차장,02-3423-6403,0000,2400,0000,2400,0000,2400,203,유료,200.0,5.0,200.0,5.0,,120000.0,37.4865474901998,127.037172110144,카카오,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-28 01:08:14,양재(서초구청),3호선,369,Y,4,12,30,46,보통,여유,여유,여유,여유,여유,여유,여유,보통,혼잡,혼잡,보통,보통,보통,보통,보통,보통,보통,혼잡,혼잡,혼잡,보통,보통,여유,여유,여유,여유,여유,여유,여유,여유,여유,여유,여유,여유,보통,보통,혼잡,혼잡,혼잡,혼잡,보통,보통,보통,여유,여유,여유,여유,여유
구파발역 공영주차장(시),은평구 진관동 70-1,1051043,NW,노외 주차장,1,시간제 주차장,02-2290-6088,0000,2400,0000,2400,0000,2400,399,유료,240.0,5.0,240.0,5.0,,109000.0,37.638209,126.918987,서울API,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),60.0,2026-06-28 01:16:53,Y,유료,N,야간 미개방,0000,2400,N,무료,109000,,240.0,5.0,240.0,5.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*,2026-06-28 01:08:14,구파발,3호선,161,Y,5,8,30,43,보통,여유,여유,여유,여유,여유,여유,여유,보통,혼잡,혼잡,보통,보통,보통,보통,보통,보통,보통,혼잡,혼잡,혼잡,보통,보통,여유,여유,여유,여유,여유,여유,여유,여유,여유,여유,여유,여유,보통,보통,혼잡,혼잡,혼잡,혼잡,보통,보통,보통,여유,여유,여유,여유,여유
살곶이(평면) 공영주차장(구),성동구 사근동 104-0,1052723,NW,노외 주차장,1,시간제 주차장,02-2204-7970,0000,2400,0000,2400,0000,2400,203,유료,50.0,5.0,,,,,37.5538739335068,127.048618251308,카카오,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-28 01:08:14,한양대,2호선,464,Y,1,12,30,43,보통,여유,여유,여유,여유,여유,여유,여유,보통,혼잡,혼잡,보통,보통,보통,보통,보통,보통,보통,혼잡,혼잡,혼잡,보통,보통,여유,여유,여유,여유,여유,여유,여유,여유,여유,여유,여유,여유,보통,보통,혼잡,혼잡,혼잡,혼잡,보통,보통,보통,여유,여유,여유,여유,여유
마장축산물시장(건물) 공영주차장(구),성동구 마장동 525-1,1052741,NW,노외 주차장,1,시간제 주차장,02-2204-7970,0000,2400,0000,2400,0000,2400,107,유료,250.0,5.0,,,,30000.0,37.5714774409112,127.039917891441,카카오,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-28 01:08:15,용두(동대문구청),2호선,326,Y,5,15,30,50,보통,여유,여유,여유,여유,여유,여유,여유,보통,혼잡,혼잡,보통,보통,보통,보통,보통,보통,보통,혼잡,혼잡,혼잡,보통,보통,여유,여유,여유,여유,여유,여유,여유,여유,여유,여유,여유,여유,보통,보통,혼잡,혼잡,혼잡,혼잡,보통,보통,보통,여유,여유,여유,여유,여유
볏골공원 지하공영주차장(구),강서구 화곡동 98-99,1053712,NW,노외 주차장,3,시간제 + 거주자 주차장,02-2065-1575,0000,2400,0000,2400,0000,2400,219,유료,100.0,5.0,100.0,5.0,,60000.0,37.5414780944294,126.844388675502,카카오,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-28 01:08:16,화곡,5호선,346,Y,2,12,30,44,보통,여유,여유,여유,여유,여유,여유,여유,보통,혼잡,혼잡,보통,보통,보통,보통,보통,보통,보통,혼잡,혼잡,혼잡,보통,보통,여유,여유,여유,여유,여유,여유,여유,여유,여유,여유,여유,여유,보통,보통,혼잡,혼잡,혼잡,혼잡,보통,보통,보통,여유,여유,여유,여유,여유
잠원동 방음언덕형 공영주차장(구),서초구 잠원동 10-33,1140909,NW,노외 주차장,1,시간제 주차장,070-7119-3701,0000,2400,0000,2400,0000,2400,92,유료,150.0,5.0,150.0,5.0,,120000.0,37.5161853965859,127.016300864401,카카오,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-28 01:08:16,신사,3호선,337,Y,3,17,30,50,보통,여유,여유,여유,여유,여유,여유,여유,보통,혼잡,혼잡,보통,보통,보통,보통,보통,보통,보통,혼잡,혼잡,혼잡,보통,보통,여유,여유,여유,여유,여유,여유,여유,여유,여유,여유,여유,여유,보통,보통,혼잡,혼잡,혼잡,혼잡,보통,보통,보통,여유,여유,여유,여유,여유
반포서래 공영주차장(구),서초구 반포동 95-13,1140911,NW,노외 주차장,1,시간제 주차장,02-1588-5783,0000,2400,0000,2400,0000,2400,7,유료,150.0,5.0,150.0,5.0,,,37.4981469389514,126.997817876589,카카오,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-28 01:08:17,신반포,9호선,609,N,3,30,23,56,어려움,여유,여유,여유,여유,여유,여유,여유,보통,혼잡,혼잡,보통,보통,보통,보통,보통,보통,보통,혼잡,혼잡,혼잡,보통,보통,여유,여유,여유,여유,여유,여유,여유,여유,여유,여유,여유,여유,보통,보통,혼잡,혼잡,혼잡,혼잡,보통,보통,보통,여유,여유,여유,여유,여유
봉천복개3 공영주차장(시),관악구 신림동 1467-3,1163833,NS,노상 주차장,1,시간제 주차장,,0900,1900,0900,1500,0000,0000,1,유료,220.0,5.0,220.0,5.0,,162000.0,37.48806796,126.93139234,서울API,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),30.0,2026-06-28 01:16:22,Y,유료,N,야간 미개방,0000,0000,Y,유료,162000,1162010200001,220.0,5.0,220.0,5.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*,2026-06-28 01:08:17,당곡,신림선,423,Y,4,30,30,64,어려움,여유,여유,여유,여유,여유,여유,여유,보통,혼잡,혼잡,보통,보통,보통,보통,보통,보통,보통,혼잡,혼잡,혼잡,보통,보통,여유,여유,여유,여유,여유,여유,여유,여유,여유,여유,여유,여유,보통,보통,혼잡,혼잡,혼잡,혼잡,보통,보통,보통,여유,여유,여유,여유,여유
독산동 금천교 공영주차장(시),금천구 독산동 1081-4,1167546,NS,노상 주차장,1,시간제 주차장,,0900,1900,0900,1500,0000,0000,1,유료,400.0,5.0,400.0,5.0,,160000.0,37.46654581,126.89009797,서울API,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),10.0,2026-06-28 01:16:59,Y,유료,N,야간 미개방,0000,0000,Y,유료,160000,1154510200186,400.0,5.0,400.0,5.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*,2026-06-28 01:08:17,독산,경부선,75,Y,8,30,30,68,어려움,여유,여유,여유,여유,여유,여유,여유,보통,혼잡,혼잡,보통,보통,보통,보통,보통,보통,보통,혼잡,혼잡,혼잡,보통,보통,여유,여유,여유,여유,여유,여유,여유,여유,여유,여유,여유,여유,보통,보통,혼잡,혼잡,혼잡,혼잡,보통,보통,보통,여유,여유,여유,여유,여유
신답고가 주변(구),동대문구 답십리동 530-6,1189778,NS,노상 주차장,1,시간제 주차장,,0900,1900,0900,1500,0000,0000,1,유료,500.0,10.0,500.0,10.0,36000.0,120000.0,37.5692227298486,127.051064391463,카카오,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-28 01:08:18,답십리,5호선,311,Y,10,30,30,70,어려움,여유,여유,여유,여유,여유,여유,여유,보통,혼잡,혼잡,보통,보통,보통,보통,보통,보통,보통,혼잡,혼잡,혼잡,보통,보통,여유,여유,여유,여유,여유,여유,여유,여유,여유,여유,여유,여유,보통,보통,혼잡,혼잡,혼잡,혼잡,보통,보통,보통,여유,여유,여유,여유,여유
동대문소방서노상(구),동대문구 장안동 434-0,1193467,NS,노상 주차장,1,시간제 주차장,02-456-2591,0900,1900,0900,1500,0000,0000,1,유료,500.0,10.0,500.0,10.0,36000.0,120000.0,37.5640227755338,127.066837316401,카카오,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-28 01:08:18,장한평,5호선,347,Y,10,30,30,70,어려움,여유,여유,여유,여유,여유,여유,여유,보통,혼잡,혼잡,보통,보통,보통,보통,보통,보통,보통,혼잡,혼잡,혼잡,보통,보통,여유,여유,여유,여유,여유,여유,여유,여유,여유,여유,여유,여유,보통,보통,혼잡,혼잡,혼잡,혼잡,보통,보통,보통,여유,여유,여유,여유,여유
여의도공원앞1 노상주차장(구),영등포구 여의도동 2-11,119824,NS,노상 주차장,1,시간제 주차장,02-2650-1436,0900,1900,0900,1500,0000,0000,1,유료,500.0,5.0,1000.0,10.0,20000.0,200000.0,37.5256978974636,126.924240629895,카카오,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-28 01:08:19,여의도,9호선,438,Y,10,30,30,70,어려움,여유,여유,여유,여유,여유,여유,여유,보통,혼잡,혼잡,보통,보통,보통,보통,보통,보통,보통,혼잡,혼잡,혼잡,보통,보통,여유,여유,여유,여유,여유,여유,여유,여유,여유,여유,여유,여유,보통,보통,혼잡,혼잡,혼잡,혼잡,보통,보통,보통,여유,여유,여유,여유,여유
청계2(북2) 공영주차장(시),종로구 관수동 91-4,1208601,NS,노상 주차장,1,시간제 주차장,,0900,1900,0900,1500,0000,0000,1,유료,750.0,5.0,750.0,5.0,,,37.56878199,126.99591057,서울API,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),4.0,2026-06-28 01:16:57,Y,유료,N,야간 미개방,0000,0000,Y,유료,0,1111015500003,750.0,5.0,750.0,5.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*,2026-06-28 01:08:19,을지로4가,2호선,296,Y,18,30,30,78,어려움,여유,여유,여유,여유,여유,여유,여유,보통,혼잡,혼잡,보통,보통,보통,보통,보통,보통,보통,혼잡,혼잡,혼잡,보통,보통,여유,여유,여유,여유,여유,여유,여유,여유,여유,여유,여유,여유,보통,보통,혼잡,혼잡,혼잡,혼잡,보통,보통,보통,여유,여유,여유,여유,여유
청계3(북1) 공영주차장(시),종로구 예지동 140-1,1210657,NS,노상 주차장,1,시간제 주차장,,0900,1900,0900,1500,0000,0000,1,유료,750.0,5.0,750.0,5.0,,,37.56967214,127.00112596,서울API,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),2.0,2026-06-28 01:16:57,Y,유료,N,야간 미개방,0000,0000,Y,유료,0,1111015800003,750.0,5.0,750.0,5.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*,2026-06-28 01:08:19,종로5가,1호선,153,Y,18,30,30,78,어려움,여유,여유,여유,여유,여유,여유,여유,보통,혼잡,혼잡,보통,보통,보통,보통,보통,보통,보통,혼잡,혼잡,혼잡,보통,보통,여유,여유,여유,여유,여유,여유,여유,여유,여유,여유,여유,여유,보통,보통,혼잡,혼잡,혼잡,혼잡,보통,보통,보통,여유,여유,여유,여유,여유
가마산고가밑 공영주차장(시),구로구 구로동 414-13,1234305,NS,노상 주차장,1,시간제 주차장,,0900,1900,0900,1500,0000,0000,1,유료,120.0,5.0,120.0,5.0,,,37.49279709,126.88255837,서울API,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),11.0,2026-06-28 01:16:59,Y,유료,N,야간 미개방,0000,0000,Y,유료,0,1153010200072,120.0,5.0,120.0,5.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*,2026-06-28 01:08:19,남구로,7호선,856,N,2,30,9,41,보통,여유,여유,여유,여유,여유,여유,여유,보통,혼잡,혼잡,보통,보통,보통,보통,보통,보통,보통,혼잡,혼잡,혼잡,보통,보통,여유,여유,여유,여유,여유,여유,여유,여유,여유,여유,여유,여유,보통,보통,혼잡,혼잡,혼잡,혼잡,보통,보통,보통,여유,여유,여유,여유,여유
청계3(남) 공영주차장(시),중구 주교동 51-3,1235522,NS,노상 주차장,1,시간제 주차장,,0900,1900,0900,1500,0000,0000,1,유료,750.0,5.0,750.0,5.0,,,37.56882563,126.99856505,서울API,0,미연계중,,,Y,유료,N,야간 미개방,0000,0000,Y,유료,0,1114015200211,750.0,5.0,750.0,5.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*,2026-06-28 01:08:19,을지로4가,2호선,257,Y,18,30,30,78,어려움,여유,여유,여유,여유,여유,여유,여유,보통,혼잡,혼잡,보통,보통,보통,보통,보통,보통,보통,혼잡,혼잡,혼잡,보통,보통,여유,여유,여유,여유,여유,여유,여유,여유,여유,여유,여유,여유,보통,보통,혼잡,혼잡,혼잡,혼잡,보통,보통,보통,여유,여유,여유,여유,여유
